"key","value","expiration"
"key","owner","expiration"
"id","kode_produk","nama_produk","berat_produk","diameter_produk","lebar_produk","keterangan","status","no_gs","created_at","updated_at"
"529","SL24-111114(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4750",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"530","SL24-111092(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2724",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"531","SL24-111108(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2587",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"532","SL24-111108(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5174",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"533","SL24-111111(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5188",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"534","SL24-111193(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4100",NULL,NULL,NULL,"0","GSX24-100850","2024-12-16 02:04:53","2024-12-16 02:04:53"
"535","SL24-111109(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4764",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"536","SL24-111109(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2382",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"537","SL24-111110(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2551",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"538","SL24-111110(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5102",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"539","SL24-111111(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2594",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"540","SL24-111112(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2450",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"541","SL24-111112(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4900",NULL,NULL,NULL,"0","GSX24-100851","2024-12-16 02:04:53","2024-12-16 02:04:53"
"542","SL24-111095(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2862",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"543","SL24-111114(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2375",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"544","SL24-111092(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5448",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"545","SL24-111097(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5568",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"546","SL24-111097(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2784",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"547","SL24-111098(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2984",NULL,NULL,NULL,"0","GSX24-100852","2024-12-16 02:04:53","2024-12-16 02:04:53"
"548","SL24-111098(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5968",NULL,NULL,NULL,"0","GSX24-100853","2024-12-16 02:04:53","2024-12-16 02:04:53"
"549","SL24-111099(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5968",NULL,NULL,NULL,"0","GSX24-100853","2024-12-16 02:04:53","2024-12-16 02:04:53"
"550","SL24-111099(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2984",NULL,NULL,NULL,"0","GSX24-100853","2024-12-16 02:04:53","2024-12-16 02:04:53"
"551","SL24-111100(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2953",NULL,NULL,NULL,"0","GSX24-100853","2024-12-16 02:04:53","2024-12-16 02:04:53"
"552","SL24-111100(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5906",NULL,NULL,NULL,"0","GSX24-100853","2024-12-16 02:04:53","2024-12-16 02:04:53"
"553","SL24-111102(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5978",NULL,NULL,NULL,"0","GSX24-100854","2024-12-16 02:04:53","2024-12-16 02:04:53"
"554","SL24-111102(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2989",NULL,NULL,NULL,"0","GSX24-100854","2024-12-16 02:04:53","2024-12-16 02:04:53"
"555","SL24-111103(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2981",NULL,NULL,NULL,"0","GSX24-100854","2024-12-16 02:04:53","2024-12-16 02:04:53"
"556","SL24-111103(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5962",NULL,NULL,NULL,"0","GSX24-100854","2024-12-16 02:04:53","2024-12-16 02:04:53"
"557","SL24-111104(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5752",NULL,NULL,NULL,"0","GSX24-100854","2024-12-16 02:04:53","2024-12-16 02:04:53"
"558","SL24-111104(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2876",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"559","SL24-111105(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2852",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"560","SL24-111105(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5704",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"561","SL24-111106(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5778",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"562","SL24-111106(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2889",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"563","SL24-111107(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2953",NULL,NULL,NULL,"0","GSX24-100855","2024-12-16 02:04:53","2024-12-16 02:04:53"
"id","attribute","user_id","berat_coil","jenis_handling","foto","keterangan","created_at","updated_at"
"3","ccfvr","14","43535","fefe","[""1731639239_invoice.png"", ""1731639239_frame.png""]","gergvr","2025-11-15 09:16:50","2024-11-15 09:54:11"
"4","abdghtry","14","43535","Crane","[""1731640654_5.png"", ""1731640655_7.png""]","fefw","2024-12-16 10:17:35","2024-12-15 10:17:35"
"5","vre","14","berger","Crane","[""1731641024_frame.png"", ""1731641024_Secure.jpg""]",NULL,"2024-11-15 10:23:44","2024-11-15 10:23:44"
"6","vergtgg","14","regr4234","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]",NULL,"2024-11-15 11:23:34","2024-11-15 11:23:34"
"13","random_attribute_1","21","65432","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","No damage","2024-01-15 08:05:30","2024-01-15 08:05:30"
"14","random_attribute_2","22","45321","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Minor scratch","2024-02-20 09:14:10","2024-02-20 09:14:10"
"15","random_attribute_3","23","52314","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Slight dent","2024-03-25 10:23:50","2024-03-25 10:23:50"
"16","random_attribute_4","24","61230","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Cracked part","2024-04-01 11:34:20","2024-04-01 11:34:20"
"17","random_attribute_5","25","42345","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","No visible damage","2024-05-10 12:45:30","2024-05-10 12:45:30"
"18","random_attribute_6","26","53210","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Scratched surface","2024-06-15 13:56:40","2024-06-15 13:56:40"
